code,name,latitude,longitude
105300,Kauri,-35.62944367,174.2866567
342000,Fairlie,-44.09701087,170.8253535
100100,North Cape,-34.50545276,172.77555
100200,Rangaunu Harbour,-34.91627744,173.1374428
100300,Inlets Far North District,-35.21850133,174.1582494
100400,Karikari Peninsula,-34.99527816,173.3787384
100500,Tangonge,-35.12314727,173.2186041
100600,Ahipara,-35.15951697,173.1609194
100700,Kaitaia East,-35.10383477,173.264143
100800,Kaitaia West,-35.1217817,173.267174
100900,Rangitihi,-35.12785001,173.3112224
101000,Oruru-Parapara,-35.03331749,173.4612756
101100,Taumarumaru,-34.99672682,173.507744
101200,Herekino-Takahue,-35.18964254,173.3724075
101300,Peria,-35.12407747,173.4481379
101400,Taemaro-Oruaiti,-35.02535123,173.5789038
101500,Whakapaku,-35.04987698,173.6629986
101600,Hokianga North,-35.36850897,173.338401
101700,Kohukohu-Broadwood,-35.29006863,173.4636267
101800,Whakarara,-35.0629133,173.8499131
101900,Kaeo,-35.15410315,173.7433197
102000,Omahuta Forest-Horeke,-35.28834375,173.6178025
102100,Hokianga South,-35.46801387,173.484387
102200,Lake Manuwai-Kapiro,-35.18267324,173.8653501
102300,Okaihau,-35.28661159,173.7908156
102400,Rangitane-Purerua,-35.13418331,173.9391431
102500,Waipapa,-35.2099338,173.918414
102600,Puketotara,-35.2517628,173.9033075
102700,Waima Forest,-35.48716638,173.6295263
102800,Riverview,-35.20805962,173.9624342
102900,Waipoua Forest,-35.58128435,173.511349
103000,Kerikeri Central,-35.22507309,173.950963
103100,Kerikeri South,-35.24639884,173.9577874
103200,Ohaeawai-Waimate North,-35.33520904,173.8599237
103300,Puketona-Waitangi,-35.27991822,174.0009525
103400,Ngapuhi,-35.4228326,173.7653484
103500,Kaikohe,-35.40792422,173.7976752
103600,Pakaraka,-35.36746635,173.9844629
103700,Haruru,-35.27932636,174.0592127
103800,Russell,-35.25653762,174.1244661
103900,Paihia,-35.28609895,174.0931179
104000,Mataraua Forest,-35.54715526,173.8053652
104100,Matawaia-Taumarere,-35.49406405,173.9526631
104200,Russell Peninsula,-35.28679106,174.1622818
104300,Opua (Far North District),-35.32270229,174.1000261
104400,Russell Forest-Rawhiti,-35.36879174,174.2260603
104500,Moerewa,-35.38372176,174.0251707
104600,Kawakawa,-35.37897674,174.075755
104700,Maromaku,-35.47825535,174.1413276
104800,Mangakahia-Hukerenui,-35.65301955,174.0023164
104900,Whangaruru,-35.48991999,174.3350113
105000,Inlets other Whangarei District,-35.370714,174.3469273
105100,Matarau,-35.66728748,174.2098716
105200,Hikurangi,-35.5944828,174.2871618
105400,Maungatapere,-35.76206371,174.1547373
105500,Kamo West,-35.67006476,174.2950745
105600,Matapouri-Tutukaka,-35.59792832,174.4780223
105700,Kiripaka,-35.64674958,174.4028742
105800,Kamo East,-35.67747272,174.3098025
105900,Granfield Reserve,-35.69015065,174.2950582
106000,Kamo Central,-35.68486255,174.3049155
106100,Whau Valley,-35.70520079,174.2958018
106200,Tikipunga North,-35.68085136,174.3230477
106300,Pukenui,-35.74644668,174.255023
106400,Otangarei,-35.69329776,174.3176996
106500,Tikipunga South,-35.69457731,174.331665
106600,Kensington (Whangarei District),-35.71310137,174.3083324
106700,Abbey Caves-Glenbervie,-35.70399025,174.3612294
106800,Mairtown,-35.70451425,174.3243045
106900,Maunu-Horahora,-35.73757136,174.2903713
107000,Woodhill-Vinetown,-35.727035,174.3095526
107100,Whangarei Central,-35.72846995,174.3243032
107200,Riverside,-35.72599375,174.3396456
107300,Raumanga,-35.74968804,174.298963
107400,Tarewa,-35.7418305,174.3090376
107500,Morningside (Whangarei District),-35.73638776,174.3200567
107600,Ngunguru,-35.62462501,174.5147439
107700,Otaika-Portland,-35.78104758,174.2857558
107800,Oakleigh-Mangapai,-35.89588695,174.2159562
107900,Port-Limeburners,-35.74927345,174.3307518
108000,Pataua,-35.69695195,174.4279443
108100,Onerahi Park,-35.75246425,174.3725983
108200,Sherwood Rise,-35.7486834,174.3618074
108300,Onerahi,-35.76617497,174.363527
108400,Inlet Whangarei Harbour,-35.80175652,174.4107329
108500,Parua Bay,-35.76001844,174.4281226
108600,Bream Bay,-35.91496801,174.3839032
108700,Marsden Bay,-35.84344323,174.486869
108800,Ruakaka,-35.87869623,174.457275
108900,Bream Head,-35.81913112,174.5359188
109000,Waipu,-36.03330412,174.4508209
109100,Kaipara Coastal,-35.72900181,173.6512429
109200,Maungaru,-35.87696287,173.9708915
109300,Dargaville,-35.93920158,173.8652405
109400,Ruawai-Matakohe,-36.08477059,174.1464978
109500,Otamatea (Kaipara District),-36.20622411,174.32332
109600,Maungaturoto,-36.10952458,174.3469392
109700,Kaiwaka,-36.20144738,174.4195437
109800,Mangawhai Rural,-36.11738276,174.5455796
109900,Mangawhai Heads,-36.09442027,174.5840667
110000,Inlet Mangawhai Harbour,-36.11793515,174.5937771
110100,Mangawhai,-36.12486297,174.5764872
110200,Okahukura Peninsula,-36.31614337,174.4783164
110300,Inlet Kaipara Harbour South,-36.45365718,174.3266122
110400,Cape Rodney,-36.25433822,174.6263805
110500,Wellsford,-36.2928483,174.5215278
110600,Oceanic Auckland Region East,-36.27144929,175.1687746
110700,South Head,-36.59353204,174.3122737
110800,Kaipara Hills,-36.46348663,174.4888195
110900,Dome Valley-Matakana,-36.34097815,174.6866992
111000,Oceanic Auckland Region West,-36.90291297,174.2970473
111100,Warkworth West,-36.38893228,174.6516007
111200,Puhoi Valley,-36.46850912,174.6247523
111300,Warkworth East,-36.40528692,174.6679194
111400,Sandspit,-36.39777901,174.6985473
111500,Tawharanui Peninsula,-36.36596181,174.7918301
111600,Te Kuru,-36.60344402,174.4839612
111700,Snells Beach,-36.42024184,174.7251887
111800,Barrier Islands,-36.20109801,175.4231637
111900,Algies Bay-Scotts Landing,-36.45696537,174.7461037
112000,Inlets other Auckland,-36.27348144,175.4086606
112100,Wainui-Waiwera,-36.58514355,174.5634151
112200,Parakai,-36.65763462,174.4359929
112300,Helensville Rural,-36.64952348,174.4986995
112400,Helensville,-36.67496915,174.4542527
112500,Waitoki,-36.63734759,174.5842346
112600,Waikoukou Valley,-36.70989198,174.5157411
112700,Orewa North,-36.58108865,174.6758646
112800,Hatfields Beach,-36.57001949,174.6893556
112900,Orewa South,-36.59013546,174.685784
113000,Orewa Central,-36.58726477,174.6944528
113100,Millwater North,-36.6014983,174.6722756
113200,Waipatukahu,-36.77908114,174.4207007
113300,Millwater South,-36.61231012,174.6700085
113400,Dairy Flat North,-36.6446947,174.6537422
113500,Dairy Flat West,-36.67100483,174.6189121
113600,Kingsway,-36.60606427,174.6865144
113700,Riverhead Forest,-36.71463745,174.5741931
113800,Silverdale Central (Auckland),-36.62402013,174.6749306
113900,Red Beach West,-36.61127031,174.6954596
114000,Red Beach East,-36.60592118,174.7048899
114100,Silverdale South (Auckland),-36.62799753,174.6916035
114200,Waimauku,-36.7805997,174.4644451
114300,Gulf Islands,-36.787119,174.855332
114400,Vipond,-36.61796366,174.7180399
114500,Muriwai,-36.82525102,174.4292264
114600,Stanmore Bay West,-36.62300197,174.7272423
114700,Kumeu Rural West,-36.79039063,174.5213384
114800,Okura Bush,-36.66711378,174.7099226
114900,Whangaparoa Central,-36.63661523,174.7335833
115000,Kumeu-Huapai,-36.76998293,174.5428667
115100,Stanmore Bay East,-36.6293262,174.7417636
115200,Manly West,-36.63336524,174.7530004
115300,Muriwai Valley-Bethells Beach,-36.8197327,174.4703282
115400,Tindalls-Matakatia,-36.61663904,174.77704
115500,Coatesville,-36.72270876,174.6433629
115600,Dairy Flat South,-36.6956027,174.6791641
115700,Gulf Harbour North,-36.60949658,174.7941367
115800,Manly East,-36.63338986,174.761288
115900,Riverhead,-36.75810331,174.5837118
116000,Army Bay,-36.60509803,174.8232573
116100,Kumeu Rural East,-36.77658085,174.5745689
116200,Gulf Harbour South,-36.62319574,174.7959801
116300,Paremoremo West,-36.75507226,174.6158432
116400,Taupaki,-36.82164682,174.5542496
116500,Long Bay,-36.68946348,174.7330696
116600,Paremoremo East,-36.74982031,174.6602053
116700,Albany Heights,-36.71796472,174.6940139
116800,Awaruku,-36.69990012,174.7273293
116900,Fairview Heights,-36.71007322,174.7167899
117000,Whenuapai,-36.79162758,174.6214307
117100,Waitakere Ranges North,-36.89876888,174.50001
117200,Torbay,-36.69512414,174.7509292
117300,Albany Central,-36.72820186,174.7048352
117400,Albany West,-36.7414674,174.6878799
117500,Glamorgan,-36.70130329,174.7405506
117600,Oteha East,-36.71657898,174.7220726
117700,Northcross,-36.71165743,174.7307683
117800,Oteha West,-36.72206732,174.7168675
117900,Waiake,-36.70665026,174.7443967
118000,Waitakere,-36.85697982,174.5407292
118100,Albany South,-36.73882334,174.7094925
118200,Browns Bay South West,-36.72178932,174.7299465
118300,Browns Bay Central,-36.71427585,174.7432631
118400,Schnapper Rock,-36.75623258,174.6869198
118500,Pinehill,-36.73133656,174.7236327
118600,North Harbour,-36.74630474,174.7150298
118700,Browns Bay South East,-36.72475755,174.7377055
118800,Westgate Central,-36.81462711,174.6057745
118900,Greenhithe West,-36.77353411,174.6735475
119000,Rothesay Bay,-36.7235541,174.7472939
119100,Greenhithe East,-36.7641032,174.6893254
119200,Hobsonville,-36.80986626,174.6281285
119300,Inlet Waitemata Harbour,-36.83821248,174.705025
119400,Greenhithe South,-36.77162145,174.6943051
119500,Murrays Bay West,-36.73177873,174.7417476
119600,Westgate South,-36.82710769,174.6079192
119700,Windsor Park,-36.73975221,174.7356835
119800,West Harbour West,-36.81872701,174.6225404
119900,Unsworth Heights West,-36.75886381,174.7113026
120000,Murrays Bay East,-36.7310303,174.7516195
120100,Birdwood West,-36.85060481,174.5866772
120200,Hobsonville Point,-36.79691625,174.661722
120300,West Harbour Clearwater Cove,-36.81054038,174.637041
120400,Unsworth Heights East,-36.75603242,174.7197727
120500,Mairangi Bay North,-36.73858904,174.7465493
120600,Massey Central,-36.83909835,174.6060205
120700,West Harbour Luckens Point,-36.81802341,174.6369598
120800,Mairangi Bay South,-36.74390273,174.7486477
120900,Massey Royal Road West,-36.83429912,174.6125455
121000,Bayview East,-36.76999591,174.7133744
121100,Swanson Rural,-36.881095,174.5710682
121200,Sunnynook South,-36.75526458,174.735876
121300,Sunnynook North,-36.75086862,174.7416936
121400,Bayview West,-36.77591921,174.704622
121500,Totara Vale North,-36.75965827,174.7300947
121600,Royal Heights North,-36.82851197,174.6277462
121700,Massey West,-36.84988607,174.6074295
121800,Beach Haven West,-36.79327636,174.6861914
121900,Totara Vale South,-36.76583308,174.725736
122000,Swanson,-36.86489607,174.5846298
122100,Bayview South,-36.78197477,174.70359
122200,Campbells Bay,-36.74954905,174.7562735
122300,Royal Heights South,-36.83554837,174.628323
122400,Beach Haven East,-36.79268258,174.6935913
122500,Massey East,-36.84348264,174.6205713
122600,Forrest Hill North,-36.75718347,174.7465398
122700,Glenfield North,-36.7738809,174.7266135
122800,Birkdale North,-36.79368225,174.7009238
122900,Massey South,-36.84994988,174.616259
123000,Ranui North,-36.86005874,174.6022059
123100,Glenfield West,-36.78268321,174.7178979
123200,Te Atatu Peninsula North West,-36.82655522,174.6488325
123300,Glenfield South West,-36.78941699,174.7129006
123400,Forrest Hill West,-36.76895837,174.7451352
123500,Wairau Valley,-36.77355541,174.7345317
123600,Forrest Hill East,-36.76431463,174.7522307
123700,Castor Bay,-36.76039959,174.7617834
123800,Ranui Domain,-36.86589923,174.6042734
123900,Beach Haven South,-36.80714782,174.6941953
124000,Glenfield Central,-36.78480405,174.725877
124100,Piha,-36.96186554,174.4742342
124200,Ranui South West,-36.87146189,174.5939237
124300,Henderson Larnoch,-36.85924837,174.6179778
124400,Birkdale South,-36.80042176,174.7076406
124500,Te Atatu Peninsula Central,-36.83605713,174.6517401
124600,Glenfield East,-36.78026196,174.7345869
124700,Henderson Valley,-36.90641583,174.5691738
124800,Te Atatu Peninsula West,-36.84872236,174.6469842
124900,Henderson Lincoln West,-36.85979867,174.6241135
125000,Ranui South East,-36.87189045,174.6046809
125100,Henderson Lincoln East,-36.85590078,174.6340743
125200,Birkenhead West,-36.80638223,174.712872
125300,Te Atatu Peninsula East,-36.84345584,174.6562165
125400,Milford West,-36.77129839,174.7601946
125500,Westlake,-36.77655884,174.7535597
125600,Hillcrest North (Auckland),-36.79003781,174.743793
125700,Henderson Lincoln South,-36.86722468,174.6236751
125800,Hillcrest West (Auckland),-36.7978865,174.7283092
125900,Milford Central,-36.77174474,174.7684636
126000,Summerland South,-36.88167753,174.6052759
126100,Summerland North,-36.87595448,174.6134583
126200,Hillcrest East (Auckland),-36.79435426,174.7362044
126300,Chatswood,-36.81836588,174.7104998
126400,Te Atatu South-Edmonton,-36.86466374,174.6422085
126500,Birkenhead North,-36.80733528,174.7268999
126600,Takapuna West,-36.78910918,174.7611701
126700,Henderson North,-36.87606154,174.6253423
126800,Takapuna Central,-36.78202515,174.7694704
126900,Western Heights (Auckland),-36.88738067,174.6131388
127000,Te Atatu South-Central,-36.86221041,174.649459
127100,Northcote Central (Auckland),-36.79888947,174.7444442
127200,Akoranga,-36.79657499,174.7545124
127300,Northcote South (Auckland),-36.80649304,174.7385397
127400,Birkenhead South,-36.81601936,174.730312
127500,Henderson Central,-36.88968581,174.6292843
127600,Waiatarua,-36.92234659,174.5947113
127700,Te Atatu South-McLeod North,-36.87411227,174.6468791
127800,Henderson Valley Park,-36.8922509,174.6171396
127900,Henderson North East,-36.87938504,174.6400701
128000,Waitakere Ranges South,-36.9893191,174.5351089
128100,Northcote Tuff Crater,-36.8075236,174.7509012
128200,Northcote Point (Auckland),-36.81611854,174.7445184
128300,McLaren Park,-36.89892389,174.6209786
128400,Henderson East,-36.88675131,174.6385137
128500,Te Atatu South-McLeod South,-36.88084491,174.650126
128600,Takapuna South,-36.79521645,174.7810086
128700,Rosebank Peninsula,-36.88086056,174.6758045
128800,Hauraki,-36.80062296,174.7769496
128900,Glendene North,-36.89209039,174.649037
129000,Sunnyvale West-Parrs Park,-36.9037139,174.6307313
129100,Sunnyvale East,-36.89955638,174.6425338
129200,Point Chevalier West,-36.86564859,174.7024618
129300,Belmont (Auckland),-36.80517747,174.788184
129400,Bayswater,-36.81411659,174.777979
129500,Glendene South,-36.89691229,174.6541683
129600,Glen Eden West,-36.91301994,174.6288182
129700,Herne Bay,-36.84490477,174.7316448
129800,Westmere North,-36.85441266,174.7186331
129900,Point Chevalier East,-36.86700191,174.7141471
130000,Oratia,-36.94487953,174.6118312
130100,Glen Eden Rosier,-36.91539926,174.6364327
130200,Saint Marys Bay,-36.84071817,174.7466688
130300,Westmere South-Western Springs,-36.86042307,174.7224495
130400,Ponsonby West,-36.85019424,174.7343627
