home_SA2,work_SA2,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
115300,115300,120,,,,,,,,,,132
115400,115400,165,9,6,,,,,,,,186
115500,115500,279,21,9,,,,,,,,318
115600,115600,156,,,,,,,,,,168
115700,115700,174,21,12,,,,,6,,,219
115800,115800,228,54,18,,,,,15,,,318
115900,115900,189,30,12,,,,,15,,,246
116000,116000,117,6,12,,,,,,,,138
116100,116100,213,27,15,,,,,9,,,273
116200,116200,186,18,,,,,,9,,,219
116300,116300,105,,,,,,,,,,114
116400,116400,189,15,18,,,,,9,,,234
116500,116500,108,,,,,,,,,,117
116600,116600,168,27,9,,,,,9,,,216
116700,116700,168,12,6,,,,,,,,189
116800,116800,258,12,9,,,,,6,,,288
116900,116900,168,9,,,,,,,,,189
117000,117000,303,117,33,6,,,45,153,,,660
117100,117100,105,6,,,,,,,,,114
117200,117200,294,24,12,,,,,21,,,354
117300,117300,21,12,,,,,,18,,,57
117400,117400,126,27,9,,,,,6,,,165
117500,117500,183,9,,,,,,,,,201
117600,117600,117,24,9,,,,,6,,,159
117700,117700,156,15,12,,,,,6,,,195
117800,117800,81,9,,,,,,,,,96
117900,117900,234,12,9,,,,,9,,,267
118000,118000,117,18,9,,,,,,,,150
118100,118100,171,18,,,,,,6,,,204
118200,118200,198,9,15,,,,,,,,228
118300,118300,138,36,12,,,,,24,,,216
118400,118400,210,30,12,,,,,,,,255
118500,118500,210,21,12,,,,,6,,,249
118600,118600,78,51,21,,,,,21,,,174
118700,118700,162,12,,,,,,,,,183
118900,118900,261,33,15,,,,,9,,,321
119000,119000,216,12,9,,,,,,,,240
119100,119100,153,9,9,,,,,,,,174
119200,119200,69,,,,,,,,,,84
119300,119300,12,,,,,,,,,,12
119400,119400,153,9,9,,,,,,,,171
119500,119500,171,12,,,,,,,,,189
119600,119600,63,12,,,,,,,,,81
119700,119700,96,6,,,,,,,,,105
119800,119800,141,12,,,,,,9,,,171
119900,119900,108,9,,,,,,,,,126
120000,120000,180,,6,,,,,,,,192
120100,120100,48,9,,,,,,,,,63
120200,120200,204,24,12,,,,,15,,,258
120300,120300,252,18,12,,,,,6,,,294
120400,120400,141,,6,,,,,,,,156
120500,120500,207,18,,,,,,12,,,240
120600,120600,111,6,6,,,,,,,,126
120700,120700,171,9,,,,,,9,,,192
120800,120800,195,9,,,,,,9,,,219
120900,120900,84,,,,,,,,,,96
121000,121000,126,9,6,,,,,,,,150
121100,121100,144,18,21,,,,,,,,189
121200,121200,66,6,6,,,,,9,,,90
121300,121300,141,12,,,,,,9,,,171
121400,121400,78,9,6,,,,,,,,96
121500,121500,81,12,9,,,,,,,,111
121600,121600,126,21,,,,,,6,,,159
121700,121700,54,6,,,,,,,,,69
121800,121800,162,9,,,,,,9,,,186
121900,121900,135,9,9,,,,,,,,156
122000,122000,90,24,,,,,,6,,,123
122100,122100,105,9,6,,,,,,,,123
122200,122200,228,12,,,,,,,,,246
122300,122300,135,12,9,,,,,,,,162
122400,122400,129,9,9,,,,,,,,150
122500,122500,81,12,,,,,,,,,99
122600,122600,96,9,,,,,,,,,111
122700,122700,108,12,9,,,,,,,,132
122800,122800,147,39,6,,,,,18,,,216
122900,122900,105,6,18,,,,,,,,132
123000,123000,72,12,6,,,,,,,,96
123100,123100,102,12,9,,,,,,,,123
123200,123200,129,9,6,,,,,,,,150
123300,123300,153,12,12,,,,,,,,177
123400,123400,123,18,,,,,,9,,,156
123500,123500,12,9,,,,,,9,,,39
123600,123600,162,15,,,,,,,,,189
123700,123700,354,30,12,,,,,,,,402
123800,123800,87,12,,,,,,6,,,108
123900,123900,216,18,6,,,,,,,,249
124000,124000,126,30,,6,,,,15,,,186
124100,124100,96,30,,,,,,9,,,144
124200,124200,84,,,,,,,,,,93
124300,124300,81,18,9,,,,,,,,108
124400,124400,183,18,6,,,,,12,,,222
124500,124500,123,33,9,,,,,15,,,189
124600,124600,78,15,,,,,,,,,102
124700,124700,99,12,6,,,,,9,,,126
124800,124800,135,12,6,,,,,9,,,168
124900,124900,75,9,,,,,,,,,90
125000,125000,66,9,,,,,,,,,81
125100,125100,21,9,,,,,,,,,33
125200,125200,234,12,12,,,,,6,,,270
125300,125300,153,15,6,,,,,,,,183
125400,125400,138,6,,,,,,9,,,156
125500,125500,135,9,,,,,,15,,,162
125600,125600,138,18,9,,,,,12,,,177
125700,125700,57,24,12,,,,,36,,,132
125800,125800,156,9,6,,,,,,,,168
125900,125900,165,18,,,,,,21,,,207
